,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
10,"Guitar mostly :O But I can add bass, glockenspiel, harmonica, drums and ocarina.","Hi guys, thought I'd update for anyone curious as to what's been going on.....  We've agreed that I would bring in x amount of money a month no matter how often I have to work for it, and that if...",And her ass.,cheshirewolf.tumblr.com  So is I :D,"DOGSOUP Ah, thank you! This puts me...right between those two. Around my close friends I certainly act/feel/seem like your ENFP friend. I place an enormous amount of value on inspiration and symbols...",Do you think the school system affects SPs in a negative way? YES,"Not sure-- but I really like Aziz Ansari humor. I tend to like things that are relevant to what I'm going through.  TV/Movies that make me laugh: Brooklyn 99, Fresh Off the Boat, The Goldbergs,...",INTJs suck ESTPs dicks...nuffsaid,http://playeressence.com/wp-content/uploads/2013/08/RED-red-the-pokemon-master-32560474-450-338.jpg  Game. Set. Match.,"When I'm upset, I usually can't help but show it. If it's someone I don't know well or someone who is particularly sensitive and who I don't want to hurt, I'll just be distant and quiet. Maybe say I...","I have toyed with the idea of the OP being an extrovert also for awhile now, actually. After many conversations with him, however I'm disinclined to believe it due to OP being much too close with Fi...","When you sit in your garden until 10:30 PM writing songs, and sing them (together with dozens of crickets) while playing your acoustic guitar.","Yeah, most of my analyzing was subconscious, but after MBTI i realized this, and in turn started doing it even MORE.  But talking about looking for the deeper meaning to life and the reasons...","namiki Well I reckon she trust you enough in private to share her inamost thoughts and opinions. I think the inconsistantcy in how she reacts to people who she's been slating,  is more to do with...",*Also freaking out about not being able to edit posts*    I take offense. I'm not the least bit feelery. At least I don't think I am. But I do agree that 9's don't fit in the stereotypical ISTJ...,Interesting.  If Clay Aiken tested as an ISTP that is further evidence that the tests don't mean a lot.   I think Aiken is an ENFJ.  He uses Fe a lot and has an in charge interaction style.  He...
11,AHAHAH I'm sorry but I'm laughing so hard. It really IS a plague. I never thought that was possible.,"I've asked him to go to counseling with me in the past, and he said that he would. I began making arrangements for us to go and when I asked him if he had any preferences on some things, he backed...",I'll flirt a woman for a piece of candy at the grocery store. Of course. I use whatever I have at my disposal to get what I want in the most efficient manner possible. If that means flirting that...,"400,000+  post","Creative: This is basically the main reason I chose NTP of the choices. I consider myself, and other people consider me to be, very creative. I try to be creative in all I do. I put my own mark on...",Freedom to not answer that many questions!,"lol. I wonder if it's because I'm a female ESTJ and my interactions with male INFP has never happened the way you described. Perhaps, gender roles plays into this.",noooooooooo,"Prozac, wellbrutin, at least thirty minutes of moving your legs (and I don't mean moving them while sitting in your same desk chair), weed in moderation (maybe try edibles as a healthier alternative...",Just re-read your post. He's definitely interested if he wants to meet you after work for drinks. I'm definitely an Alpha (according to your description of alpha) and I'll tell you that I wouldn't...,Still ESFJ,This is the most INTP-ish thread I've ever seen.,"This was an aquired thing for me, I didn't start doing this until something impacted me and inspired me enough to start thinking this way",Liontiger Thanks for your input although I'm not seeking answers on the net or from anyone really. I know my own mind and life desires. I just wonderd if any other women were in the same boat and...,http://www.dangerousminds.net/images/uploads/dicktocabdriver1hgfjf.jpg fix'd :ninja:,"Really rare for me too.  I can't even remember a time I've said it to my parents, although I think I have."
12,Mostly because of the sound. If there are lyrics I'll obviusly consider them but I listen mostly to Post and Math rock so I don't care too much about words.,"My husband would say, Should I just be okay with her weight and let it go even though it's important to me and should I just work my life away for the things I want extra just so she can be at  home...",http://youtu.be/PZbqAMEwtOE,Not really; I've never thought of E/I or J/P as real functions.  I judge myself on what I use. I use Ne and Ti as my dominates. Fe for emotions and rarely Si. I also use Ni due to me strength...,I think SFJs can be extraordinarily quirky or random. Much more than they're given credit for.,Prone to self destruction in ways that hurt the people around her. In other words I self destruct by doing/saying things that push people away. Is why my long term friends are just the people who can...,"I either write in my journal (usually realizations/processing, not usually mundane day-to-day task things) or just thoughts or quotes or poetry. Really depends on my mood. Sometimes one form of...",This thread is garbage...more examples :laughing:,"Basically come up with three items you've determined that each type (or whichever types you want to do) would more than likely use, given each types' cognitive functions and whatnot, when left by...",nevermind ;),I disagree.  Definite ESFJ. Fe- Si ALL up in this.,I wouldn't be able to look at the painting for the entire life if I knew that I picked it over the human being.,Ugh. I'm starting to have a hard time getting to sleep. Monday was also a complete mess. I haven't felt that emotionally unstable in a long time. But I'm really happy for my friends who were able to...,"Sensitive enough to pick up on subtle cues. How I deal with them depends, it'll either crush me a little or I think ah bollocks. But yeah I'm sensitive to others.",I laughed so hard...  warning: contains swearing.  http://www.youtube.com/watch?v=rHG-JO8gIGk,I like ISFJ females. I've been lucky enough to be around a few that aren't overtly emotional. My wife is one and her mom is an ESTJ tyrant. That made her a lot mare logical than I think she would...
13,HII! :D And welcome!,Am I in the wrong? Sometimes I feel as though I should just go ahead and work full time so that we can have a better lifestyle because that's what it takes these days and what it takes for my...,"Yes. In the comments she gave more info, then was shut down because she went from having a crush on her boss and wanted to know how to impress him, to her boss is married and she wasn't interested. I...",You know though. That was ingenious. After saying it I really want to try it and see what happens with me playing a first person shooter in the back while we drive around. I want to see the look on...,"Thank you, this made me happy! <3",This is just a note to myself to let me know I've updated my results table to this point.,Recently started dating an ESFJ guy. Everything has been super easy and fun. He embodies all the characteristics I'm looking for. He's been very open/honest about the fact that he got out of a 6 year...,Best friend male is ISTP 8w9 and ESFP 8w7 Sx/So,"All things in moderation.  Sims is indeed a video game, and a good one at that. Note: a good one at that is somewhat subjective in that I am not completely promoting the death of any given Sim...",I appreciated that you took the time to offer your opinion. It's just frustrating when people perceive me in a way that is totally opposite the truth. I'm open to friendship with everyone I encounter...,Where have you been?  Your mother and I have been worried sick.,I was drawing a background for my animation on which I'm working right now - it should have been Mars.. But I felt obligated to make Mark Watneyx92s postcard from it :D  If you read the book...,"ISFJ's naturally seek validation, or just being acknowledged of what they are doing. This seems like she wanted it a little too much, or she doesn't feel like you give her enough validation and...","@BooksandButterflies  You sound totally like a fellow isfp to me :) I'm around the same age as you, and I reckon it's the age of the tertinery function springy out on us..",I actually like this test a lot. I find the description of myself to be quite accurate. Even though I don't overly enjoy the position of leader I find others putting me into it more often than not. ...,"Crap ... now I have to go slower. :laughing:  I'm sure it all depends on who is watching and what mood they're in.  Also, what kind of car you are driving.  Some departments find reasons to pull..."
14,I have two INFJ close friends and I never though of them as naive. Actually I take them very seriously though I notice non-NF friends don't seem them that way usually. I don't really know why it is...,"I am not concerned with getting my feelings hurt by others who post things straight forward, harsh and the way they see it. I would prefer straight talk so that I can get to the bottom of things....",What's this we thing about?,out of all of them the rock paper one is the best. It makes me lol.  You guys are lucky :D I'm really high up on the tumblr system.,I've been investigating the functions for about 2 years now. Unfortunately I was supplied mostly with stereotypical misinformation until just a few months ago. I'm still learning. I always thought I...,5' 11 and I was 21 when I grew that last inch.,"Thank you for asking first of all. I have a really weird one-- not so typical of ESTJ, I think. More so like an ENFP haha!  1. dinner 2. shower + brush teeth/floss 3. lotion + face moisturizer...","http://a7.sphotos.ak.fbcdn.net/hphotos-ak-ash4/386070_2950477331838_1558502760_32888930_1766596672_n.jpg  The fix was easy, but I decided to leave it the way it was.","Dear ENFP:  What were your favorite video games growing up and what are your now, current favorite video games? :cool:","I find commonalities in a lot of different types of people. I'm social and friendly with pretty much everyone I encounter (unless they're a total ass to me). But, something has to attract me to...",Similar feelings concerning ENTPs.,I started to make comics about turtle Gordon and unicorn Chimes - here you can see two first stories: https://www.tumblr.com/blog/-alexxxandra-,"It's really hard to put my finger on why... but i know i don't like seeing people sad or distressed, and i don't like being rude. And as i said, i like the feeling from helping others. Maybe it's...",Tick tock !,"The rush of making a deadline at the last minute, and putting out the best quality product.  Analyzing myself and others.","Maybe it's just me. I love setting how things work like that though, even if it is CGI."
15,"this. Actually, why shouldn't they be cooler? Pollution is a big deal, if people can avoid it is better isn't it? It's not like people don't have cars, at least in my country, but if you live...","All of that being said, he makes more than I do. Our bills are more than covered on the budget we have set up, but we like to eat out often and go to movies and take vacations and some spur of the...","Callaendia are you the same INFP girl who was on the ENTJ Facebook forum with this similar question? I just have to ask because the times are so close together, and the scenario is so similar.",So did you hear about that new first person shooter game? I've been rocking the hell out of the soundtrack on my auto sound equipment that will shake the heavens. We managed to put a couple PS3's in...,"Sure it would fit. I don't relate to being organized at all, but the organized thing is kind of fading out, I think. I'm not methodical or decisive. So if you're going by organized vs haphazard, I'll...","I know, that's the worrying thing!",Is that a deal breaker?,"If the content is too inappropriate, yeah. In this case it would be VERY inappropriate. A picture of a guy ejaculating on a girl's butt/face/ass? C'mon that's a little over the top.",https://www.youtube.com/watch?v=QyPqT8umzmY,"I knew a guy that was homeless. He was one of the classiest people I knew. You guys are totally, completely misunderstanding where I'm coming from. It has nothing to do with money or superficial...",I collect shoes. I do so because I like status and nothing communicates such a thing as much as a pair of Jordans.,"INTJ Recently I started to post my comics about two friends - turtle Gordon and unicorn Chimes. Before that, I just posted stuff that interested me, but from now on I'll try to include only my works...","Not EXACTLY sure on what you are asking, but even if i'm nice to someone, i can still be annoyed with them or not want to be around them. If someone just walks up to me and starts talking to me, it...",So are any of you considering this route ? I'm nearing upto to 36.. I'm single n got no kids..no potential partner as of yet.  Really would love to have a child/ren. Any of you's in same boat?...,http://fc06.deviantart.net/fs71/f/2011/340/f/9/secret_agent_calvin_hobbes_by_kizer180-d4hqlhn.jpg http://fc06.deviantart.net/fs71/f/2011/339/8/5/8575e5c001dae91aba3db30de4b76528-d4i7u65.jpg,Thanks.  I've been reading this subforums off and on for months now and never noticed if anyone cussed or didn't until after I posted that question.  The inner dialog I posted above was highly...
16,"What if ignoring them had a side effect of slightly messing with people around BOTH of you.  Let me try to get some pratical example. If X if constatly trying to get on your nerves, provoking you or...","I could completely do without the extras until the kids are older. He says he doesn't mind working extra for the extras, but I am stealing from him if I don't make my half of the bills. Sooooo......I...",3X,No; The way he connected things was very Ne. Ne dominates are just as aware of their environments as Se dominates.  Example: Shawn Spencer or Patrick Jane; Both ENTPs.,"In typical 6 fashion, I am questioning my type. I thought I was INFP, but I realized I'm just not N enough for that. I love me some philosophical discussions, and they're stimulating for a bit, but...",You have the attention span of a moth amongst fireflies.,this is everything.,"It's the crazy sexual energy. Go have some sex...or masturbate. OOR sex first THEN finish off on her butt, face, or chest. Take a picture. Put it on this thread. Get banned.",It appears to be too late. :sad:,"Communicate with her, try to understand her, and, if nothing you do resolves the problem, leave. Don't totally cut her out of your life but don't let her have any power of yours. Parents can be just...",Sure. Let's get weird.    Back. Off.,Probably we could work together on a new model - I'm an expert in abrupt explosions of laughter upon various weird stuff. That happens because of peculiar sense of humor - so peculiar that not much...,"I am truly excited for one of the first times in a VERY long time. Been finding more communities, been getting higher up in the amount of people i talk to online, and i'm starting to find more and...",So what you reckon ? Tim possibly one of you boys ? I'm guessing  Daisy ENFP Mike ISTP Brian INFP Marsha ESFJ Twist ENFJ Dwane INTJ Colin the dog ISFP lol,http://25.media.tumblr.com/tumblr_lucp36jbqB1qzxegjo1_500.jpg   edit: two more http://25.media.tumblr.com/tumblr_lunw3ycuJN1qztj6so1_500.jpg   ...,Netflix and/or Bit Torrent.  I love living in the future where we can choose what we want to entertain us.
17,Welcome!!!,I was supporting myself when we got together and saw myself financially fine down the road before I met him. He makes enough money to cover his own bills and a little bit more for a few extra things...,"11/25 I do not modify myself to suit others, however I do like the spotlight.",Well charlie I will be the first to admit I do get jealous like you do. I chalk it up to my 4w3 heart mixed with my dominate 7w8. 7s and 8s both like to be noticed. 4's like to be known (not the same...,Isfp.,I think really what it means is acceptable Vs unacceptable. Or even weird Vs normal. The term personality disorder was almost certainly thought up by an STJ.,"I don't want to make assumptions for everyone, but in my personal experience, yes.  In my life I've noticed: ENxPs tend to be more fluid and in open relationship/poly situations. NF types tend to...",I'm very much into myself at times. I seek self-improvement through physical and mental challenges and I love sizing up people and situations. There are two sides to me at times(asshole and...not an...,There's someone out there for everyone.,I don't think I'm better; I think I'm different.,Best...,"Hellooo Nah, you can touch it. Everyone thinks that it's scared or sad, but that's not true - in fact it has an absolutely neutral face. And this kitten actually really likes patting and hugs (only...","ISFJ, 2w1  Uhh...i really don't know. I just get a happy feeling inside by helping others",Prince Harry not flipping likey ! Those some say people tut tut to you.,"I know you were just getting some ideas out which is really needed, but I think it would also be helpful if the poll ideas also contained choices.  I like the 12 days of Christmas one, but it...",You watch  http://www.youtube.com/watch?v=NPoHPNeU9fc and your favorite part is watching Tony Stark's apartment remove his suite. (no homo)
18,Hi there fellow ENFJs!  I was wondering how do you deal with direct conflict within the groups you're in.   When I feel like someone doesn´t like me that much and starts to bother me a lot I just...,He is only insisting on a weight around 117 or so because that probably IS my healthy weight. I'm 5'0. So I would have to lose about 15 pounds to reach my healthy weight.,"I think the easiest and most efficient approach is a tarp, jigsaw, and mulcher. But that's just my personal preference. Not all ENTJs are the same.",;D I'll upload the same clip with the mic away from my mouth. Than you won't hear anything.  Ninja Assassin style but with splatter.,Isfj - hatred,"Thanks for letting me know about the broken link, here try this Personality Disorder Test",What do you guys do at night after dinner/before bed? What does your night routine look like? Do you have a bedtime snack? Floss? Do you read?,http://a7.sphotos.ak.fbcdn.net/hphotos-ak-snc7/312530_2479781324732_1558502760_32655371_1323910499_n.jpg  In this picture: fucking INTj QUACK puts his OPEN protein shake in SMARTEST SPOT EVER! I...,Wait... I thought confidence was a good thing.,"I haven't had a friend since elementary school. In high school, I had acquaintances - likeminded people I got along with well enough but never did anything with after school. Same thing at previous...",[Insert other into previous post.],"Well.. kind of; As it was already mentioned, sometimes because of Ni it's hard to convey complex stuff which pops up in your head in whimsical compilations of shapes and pictures only with words....","I do this all the time, but at the same time, I usually don't understand what a certain expression means, but I'll still pick up on it.  It also doesn't help that my Aspergers makes it hard for me...",A cartoonist for The Beano :),http://27.media.tumblr.com/tumblr_lohureOA651qc9u65o1_500.jpg   http://28.media.tumblr.com/tumblr_l9qxqj0Xe61qcu739o1_500.jpg,"This.  The limit on the main road in my town is 50.  If I'm driving my 5 speed, I will be at the limit faster than the guys in the other lanes 95% of the time.  After that at least one of them..."
19,Welcome! :),It is WAY easier to open up to strangers....and also to keep your personal business out of everyone else's close to you.   I kind of feel like the second bold statement....kind of. I do tell him...,Just don't hump my leg...,Tik Tok is a really great song. As long as you can mental block out the singer. I love the beat it makes me bounce.,"My INTJ brother was pretty rambunctious as a kid.   Anyways, maybe you're just developing your Ni?","Before anyone says anything, I know the similar minds test isn't very serious and makes everyone seem crazy when in fact most people do not have a real personality disorder.",This. :),The blonde chick is Chris without his black costume,"I just cherish the time of solitude b/c i revel within my inner world more whereas most other time i'd be workin... just enjoy the me time while you can. Don't worry, people will always be around to...","This morning, my mother was still criticizing me. But, when I came back from my 3 mile run half an hour later, I think I entered the twilight zone. She's back to her old happy and uncritical self. We...","Wow, don't nobody got time fo' dat...  Jk, u kno u mah boi.",I think this kitten would be very appropriate here.  376562,"Ugh. I feel so drained. I can balance school and work pretty well, but i had to take someone else's shift this week because he couldn't be at work at all this week for an emergency. My week has...",Howdo ValK have fun ere ! :),"I believe their backstories are pretty well explained out now; the reader now has a pretty good feel of where the characters' walk of life has taken them. Their personalities could use some work, but...","I'm big into a lot of different kinds of Rock.  Classic rock was the first kind of music that I listened too that I still consider worth anything.  My favorite band from that genre, or any for that..."
20,"Isn't the way you see yourself also a part of your personality?  I am very close to two INFJs, one of them with very low self esteem, amazingly pessimistic over pretty much everything. On the other...",I certainly tend to shut down. I'm trying not to in this situation...  .....I guess the last sentence is true for me....I'm looking into whether or not this is normal acceptable behavior and if...,What are you like a chihuahua or some shit?,drop.io v1swck0  :D Mic really close to my mouth and smokin aces: assassins ball playing in the background.,"When you have a wild imagination, but long theoretical discussions just drain the hell out of you.",This thread is about personality types and personality disorders...  Take this test http://similarminds.com/cgi-bin/newpd4.pl  Paranoid  My score: 67% Internet average: 50% Schizoid ,I've never been withdrawn and uncommunicative! How interesting!!,"Will Smith is a reasonable man. Chris Tucker is the unstable, batshit crazy instigator.","Yo entp ladies... if you're into a complimentary personality,well, hey.","I've changed a lot in the last year. I went from preparing for the Priesthood to being an atheist, from loving hamburgers to being a vegetarian, from being pretty sedentary to being in the best shape...","Well, as I'm sure everyone knows, being social primary doesn't necessarily equal being social. I like other people just fine, but lately I've been on a bit of a break when it comes to my...",367034,"Mostly serious in real life, but not as serious on social networking sites or when speaking through the internet","I'm just watching the morning weather report, gonna rain this afternoon",http://img856.imageshack.us/img856/9250/pb060127.jpg Me on top of Crane Mt. http://img838.imageshack.us/img838/8721/imag0128mn.jpg Me after losing the trail and my wallet and bushwhacking down the...,"People who are physically in my way annoy me.  - When people drive slowly and I have no way to get around them.  - In the super market, people who stand around and don't give anyone a path to go..."
23,the friend says welcome D:  HIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII! :DDDD,"He  waits tables for a living, so the money could be different. Right now, I  work 3 sometimes 4 nights a week myself so I could pick up extra  shifts. I believe he wants me to commit to at least 5...",MBTIPC perfect. I don't like dealing with middle men either. You can talk directly to me.  ;),http://i817.photobucket.com/albums/zz96/kamioo/Dirtywinch.png,Name change request - I would like my name changed to:  blooming   :),|...,Definitely not. I would never forget if I was romantically interested. Plans/scheduling is REALLY important to ESTJs.,"When you wonder why somebody would post a grammar or punctuation error(when you can easily fix it before posting), but then you do it yourself.",http://www.youtube.com/watch?v=msqXffgh7b8,"Hey CaptainMcMuffin, keep us posted about what you decide and how things turn out. And thanks for saying my post made you feel better. Knowing I helped someone makes me feel awesome.","Whether or not you actually are, your mom makes fun of you for being a virgin? Is this playful teasing?",358882  358890,"When you care more for people you only know online and follow on social media more than you do for yourself, to the point where you feel like you are butting into their personal lives.","Mind, Body and Soul :)",lmao  We're missing someone though http://farm7.static.flickr.com/6154/6145410585_afb6c726ee.jpg,"I do that a lot too.  Loosely defined, that could be considered customization, as well.  At least it is different than the factory settings."
